Name,Profession,Degree,Field,Institution,Graduation Year,Country,University Global Ranking,GPA (or Equivalent),Scholarship/Award
Takemitsu Takizaki,Entrepreneur,Bachelor,Engineering,Osaka Institute of Technology,1965.0,Japan,,3.7,Merit Award
Qin Yinglin,Business,Master,Animal Science,China Agricultural University,1995.0,China,,3.8,Research Grant
He Xiangjian,Entrepreneur,No Degree,,,,China,,,
Lu Xiangyang,Entrepreneur,Bachelor,Engineering,South China University,1983.0,China,,3.7,
Zhang Jindong,Business,Bachelor,Management,Nanjing University,1995.0,China,,3.6,
Zhou Yahui,Entrepreneur,Bachelor,mechanical engineering,Tsinghua University,1999.0,China,,3.7,
Carlos Slim Helu,Business,Bachelor,Engineering,Universidad Nacional Autonoma de Mexico,1961.0,Mexico,122,3.8,
Alice Walton,Business,Bachelor,Economics,Trinity College,1971.0,USA,3,3.7,
Francoise Bettencourt Meyers,Business,Bachelor,Philosophy,University of Paris,1975.0,France,35,3.8,
Zhong Shanshan,Business,Bachelor,Medicine,Hangzhou Normal University,1982.0,China,,3.6,
Mark Mateschitz,Business,Bachelor,Economics,Fachhochschule Salzburg,2018.0,Austria,,3.8,
Ken Griffin,Finance,Bachelor,Economics,Harvard University,1989.0,USA,3,3.8,
Eduardo Saverin,Entrepreneur,Bachelor,Economics,Harvard University,2006.0,USA,3,3.7,
Vagit Alekperov,Business,Bachelor,Engineering,Azarbayjan State Oil Academy,1975.0,Azerbaijan,,3.6,
Stefan Quandt,Business,Bachelor,Engineering,Technical University of Darmstadt,1994.0,Germany,,3.7,
Susanne Klatten,Business,Bachelor,Economics,Technical University of Munich,1993.0,Germany,,3.8,
Cyrus Poonawalla,Business,Bachelor,Pharmacy,University of Pune,1966.0,India,,3.7,
